station,tstamp,value,quality,var_name,type
17063001,2021-11-10 10:30:00,5.41,Poor,Discharge (cfs),provisional
17063001,2021-11-10 10:00:00,5.39,Poor,Discharge (cfs),provisional
17063001,2021-11-10 09:30:00,5.37,Poor,Discharge (cfs),provisional
17063001,2021-11-10 09:00:00,5.41,Poor,Discharge (cfs),provisional
17063001,2021-11-10 08:30:00,5.41,Poor,Discharge (cfs),provisional
17063001,2021-11-10 08:00:00,5.4,Poor,Discharge (cfs),provisional
17063001,2021-11-10 07:30:00,5.42,Poor,Discharge (cfs),provisional
17063001,2021-11-10 07:00:00,5.42,Poor,Discharge (cfs),provisional
17063001,2021-11-10 06:30:00,5.43,Poor,Discharge (cfs),provisional
17063001,2021-11-10 06:00:00,5.43,Poor,Discharge (cfs),provisional
17063001,2021-11-10 05:30:00,5.42,Poor,Discharge (cfs),provisional
17063001,2021-11-10 05:00:00,5.42,Poor,Discharge (cfs),provisional
17063001,2021-11-10 04:30:00,5.46,Poor,Discharge (cfs),provisional
17063001,2021-11-10 04:00:00,5.45,Poor,Discharge (cfs),provisional
17063001,2021-11-10 03:30:00,5.48,Poor,Discharge (cfs),provisional
17063001,2021-11-10 03:00:00,5.5,Poor,Discharge (cfs),provisional
17063001,2021-11-10 02:30:00,5.46,Poor,Discharge (cfs),provisional
17063001,2021-11-10 02:00:00,5.46,Poor,Discharge (cfs),provisional
17063001,2021-11-10 01:30:00,5.52,Poor,Discharge (cfs),provisional
17063001,2021-11-10 01:00:00,5.55,Poor,Discharge (cfs),provisional
17063001,2021-11-10 00:30:00,5.52,Poor,Discharge (cfs),provisional
17063001,2021-11-10 00:00:00,5.53,Poor,Discharge (cfs),provisional
17063001,2021-11-09 00:00:00,5.74,Poor,Discharge (cfs),approved
17063001,2021-11-08 00:00:00,6.3,Poor,Discharge (cfs),approved
17063001,2021-11-07 00:00:00,6.9,Poor,Discharge (cfs),approved
17063001,2021-11-06 00:00:00,7.24,Poor,Discharge (cfs),approved
17063001,2021-11-05 00:00:00,7.56,Poor,Discharge (cfs),approved
17063001,2021-11-04 00:00:00,8.19,Poor,Discharge (cfs),approved
17063001,2021-11-03 00:00:00,9.17,Poor,Discharge (cfs),approved
17063001,2021-11-02 00:00:00,10.8,Poor,Discharge (cfs),approved
17063001,2021-11-01 00:00:00,11.1,Poor,Discharge (cfs),approved
17063001,2021-10-31 00:00:00,12.1,Poor,Discharge (cfs),approved
17063001,2021-10-30 00:00:00,14,Poor,Discharge (cfs),approved
17063001,2021-10-29 00:00:00,15.5,Poor,Discharge (cfs),approved
17063001,2021-10-28 00:00:00,8.85,Poor,Discharge (cfs),approved
17063001,2021-10-27 00:00:00,3.26,Poor,Discharge (cfs),approved
17063001,2021-10-26 00:00:00,3.48,Poor,Discharge (cfs),approved
17063001,2021-10-25 00:00:00,3.35,Poor,Discharge (cfs),approved
17063001,2021-10-24 00:00:00,3.69,Poor,Discharge (cfs),approved
17063001,2021-10-23 00:00:00,3.97,Poor,Discharge (cfs),approved
17063001,2021-10-22 00:00:00,3.77,Poor,Discharge (cfs),approved
17063001,2021-10-21 00:00:00,3.7,Poor,Discharge (cfs),approved
17063001,2021-10-20 00:00:00,2.04,Poor,Discharge (cfs),approved
17063001,2021-10-19 00:00:00,1.7,Poor,Discharge (cfs),approved
17063001,2021-10-18 00:00:00,1.79,Poor,Discharge (cfs),approved
17063001,2021-10-17 00:00:00,1.79,Poor,Discharge (cfs),approved
17063001,2021-10-16 00:00:00,2.14,Poor,Discharge (cfs),approved
17063001,2021-10-15 00:00:00,2.25,Poor,Discharge (cfs),approved
17063001,2021-10-14 00:00:00,1.98,Poor,Discharge (cfs),approved
17063001,2021-10-13 00:00:00,1.8,Poor,Discharge (cfs),approved
17063001,2021-10-12 00:00:00,1.5,Poor,Discharge (cfs),approved
17063001,2021-10-11 00:00:00,1.25,Poor,Discharge (cfs),approved
17063001,2021-10-10 00:00:00,1.02,Poor,Discharge (cfs),approved
17063001,2021-10-09 00:00:00,0.5,Poor,Discharge (cfs),approved
17063001,2021-10-08 00:00:00,0.63,Poor,Discharge (cfs),approved
17063001,2021-10-07 00:00:00,0.62,Poor,Discharge (cfs),approved
17063001,2021-10-06 00:00:00,1,Poor,Discharge (cfs),approved
17063001,2021-10-05 00:00:00,1.22,Poor,Discharge (cfs),approved
17063001,2021-10-04 00:00:00,0.88,Poor,Discharge (cfs),approved
17063001,2021-10-03 00:00:00,0.12,Poor,Discharge (cfs),approved
17063001,2021-10-02 00:00:00,0.03,Poor,Discharge (cfs),approved
17063001,2021-10-01 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-09-30 00:00:00,0.01,Poor,Discharge (cfs),approved
17063001,2021-09-29 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-28 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-27 00:00:00,0.01,Poor,Discharge (cfs),approved
17063001,2021-09-26 00:00:00,0.01,Poor,Discharge (cfs),approved
17063001,2021-09-25 00:00:00,0.12,Poor,Discharge (cfs),approved
17063001,2021-09-24 00:00:00,0.62,Poor,Discharge (cfs),approved
17063001,2021-09-23 00:00:00,1.3,Poor,Discharge (cfs),approved
17063001,2021-09-22 00:00:00,2.17,Poor,Discharge (cfs),approved
17063001,2021-09-21 00:00:00,3.24,Poor,Discharge (cfs),approved
17063001,2021-09-20 00:00:00,1.51,Poor,Discharge (cfs),approved
17063001,2021-09-19 00:00:00,1.49,Poor,Discharge (cfs),approved
17063001,2021-09-18 00:00:00,2.67,Poor,Discharge (cfs),approved
17063001,2021-09-17 00:00:00,0.15,Poor,Discharge (cfs),approved
17063001,2021-09-16 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-15 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-14 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-09-13 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-12 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-11 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-10 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-09 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-08 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-07 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-06 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-05 00:00:00,0.06,Poor,Discharge (cfs),approved
17063001,2021-09-04 00:00:00,0.06,Poor,Discharge (cfs),approved
17063001,2021-09-03 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-02 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-09-01 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-31 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-30 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-29 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-28 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-26 00:00:00,0,Estimated,Discharge (cfs),approved
17063001,2021-08-25 00:00:00,0.14,Estimated,Discharge (cfs),approved
17063001,2021-08-24 00:00:00,0.15,Estimated,Discharge (cfs),approved
17063001,2021-08-23 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-08-22 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-08-21 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-08-20 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-19 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-18 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-17 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-16 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-15 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-14 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-13 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-12 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-11 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-10 00:00:00,0.02,Poor,Discharge (cfs),approved
17063001,2021-08-09 00:00:00,0.15,Poor,Discharge (cfs),approved
17063001,2021-08-08 00:00:00,0.25,Poor,Discharge (cfs),approved
17063001,2021-08-07 00:00:00,0.09,Estimated,Discharge (cfs),approved
17063001,2021-08-06 00:00:00,0.06,Poor,Discharge (cfs),approved
17063001,2021-08-05 00:00:00,0.03,Poor,Discharge (cfs),approved
17063001,2021-08-04 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-03 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-02 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-08-01 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-31 00:00:00,0.03,Poor,Discharge (cfs),approved
17063001,2021-07-30 00:00:00,0.17,Poor,Discharge (cfs),approved
17063001,2021-07-29 00:00:00,0.39,Poor,Discharge (cfs),approved
17063001,2021-07-28 00:00:00,0.13,Poor,Discharge (cfs),approved
17063001,2021-07-27 00:00:00,0.01,Poor,Discharge (cfs),approved
17063001,2021-07-26 00:00:00,0.04,Poor,Discharge (cfs),approved
17063001,2021-07-25 00:00:00,0.24,Poor,Discharge (cfs),approved
17063001,2021-07-24 00:00:00,0.23,200,Discharge (cfs),approved
17063001,2021-07-23 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-22 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-21 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-20 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-19 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-18 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-17 00:00:00,0,Poor,Discharge (cfs),approved
17063001,2021-07-16 00:00:00,0,Poor,Discharge (cfs),approved
