station,tstamp,value,quality,var_name,type
18075003,2019-11-04 15:00:00,18,Poor,Discharge (cfs),provisional
18075003,2019-11-04 14:30:00,18,Poor,Discharge (cfs),provisional
18075003,2019-11-04 14:00:00,18,Poor,Discharge (cfs),provisional
18075003,2019-11-04 13:30:00,18.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 13:00:00,17.8,Poor,Discharge (cfs),provisional
18075003,2019-11-04 12:30:00,18.3,Poor,Discharge (cfs),provisional
18075003,2019-11-04 12:00:00,18.5,Poor,Discharge (cfs),provisional
18075003,2019-11-04 11:30:00,18.5,Poor,Discharge (cfs),provisional
18075003,2019-11-04 11:00:00,18.5,Poor,Discharge (cfs),provisional
18075003,2019-11-04 10:30:00,18.6,Poor,Discharge (cfs),provisional
18075003,2019-11-04 10:00:00,18.6,Poor,Discharge (cfs),provisional
18075003,2019-11-04 09:30:00,18.7,Poor,Discharge (cfs),provisional
18075003,2019-11-04 09:00:00,18.8,Poor,Discharge (cfs),provisional
18075003,2019-11-04 08:30:00,18.9,Poor,Discharge (cfs),provisional
18075003,2019-11-04 08:00:00,19,Poor,Discharge (cfs),provisional
18075003,2019-11-04 07:30:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 07:00:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 06:30:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 06:00:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 05:30:00,19.2,Poor,Discharge (cfs),provisional
18075003,2019-11-04 05:00:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 04:30:00,19,Poor,Discharge (cfs),provisional
18075003,2019-11-04 04:00:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 03:30:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 03:00:00,19.1,Poor,Discharge (cfs),provisional
18075003,2019-11-04 02:30:00,19.2,Poor,Discharge (cfs),provisional
18075003,2019-11-04 02:00:00,19.2,Poor,Discharge (cfs),provisional
18075003,2019-11-04 01:30:00,19.3,Poor,Discharge (cfs),provisional
