station,tstamp,value,quality,var_name,type
38025003,2024-01-03 08:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 08:30:00,84,Fair,Discharge (cfs),provisional
38025003,2024-01-03 08:15:00,84.8,Fair,Discharge (cfs),provisional
38025003,2024-01-03 08:00:00,84,Fair,Discharge (cfs),provisional
38025003,2024-01-03 07:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 07:30:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-03 07:15:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 07:00:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 06:45:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 06:30:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 06:15:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 06:00:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 05:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 05:30:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 05:15:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 05:00:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 04:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 04:30:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-03 04:15:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 04:00:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 03:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 03:30:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 03:15:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 03:00:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 02:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 02:30:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 02:15:00,83.9,Fair,Discharge (cfs),provisional
38025003,2024-01-03 02:00:00,84.8,Fair,Discharge (cfs),provisional
38025003,2024-01-03 01:45:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 01:30:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-03 01:15:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 01:00:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-03 00:45:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-03 00:30:00,83.1,Fair,Discharge (cfs),provisional
38025003,2024-01-03 00:15:00,84.8,Fair,Discharge (cfs),provisional
38025003,2024-01-03 00:00:00,82.2,Fair,Discharge (cfs),provisional
38025003,2024-01-02 00:00:00,85.4,Fair,Discharge (cfs),approved
38025003,2024-01-01 00:00:00,89.2,Fair,Discharge (cfs),approved
38025003,2023-12-31 00:00:00,95.1,Good,Discharge (cfs),approved
38025003,2023-12-30 00:00:00,103,Good,Discharge (cfs),approved
38025003,2023-12-29 00:00:00,115,Good,Discharge (cfs),approved
38025003,2023-12-28 00:00:00,138,Good,Discharge (cfs),approved
38025003,2023-12-27 00:00:00,169,Good,Discharge (cfs),approved
38025003,2023-12-26 00:00:00,138,Good,Discharge (cfs),approved
38025003,2023-12-25 00:00:00,78.7,Fair,Discharge (cfs),approved
38025003,2023-12-24 00:00:00,60.9,Fair,Discharge (cfs),approved
38025003,2023-12-23 00:00:00,59.8,Fair,Discharge (cfs),approved
38025003,2023-12-22 00:00:00,59.8,Fair,Discharge (cfs),approved
38025003,2023-12-21 00:00:00,59.8,Fair,Discharge (cfs),approved
38025003,2023-12-20 00:00:00,61.1,Fair,Discharge (cfs),approved
38025003,2023-12-19 00:00:00,63,Fair,Discharge (cfs),approved
38025003,2023-12-18 00:00:00,66.6,Fair,Discharge (cfs),approved
38025003,2023-12-17 00:00:00,69.5,Fair,Discharge (cfs),approved
38025003,2023-12-16 00:00:00,62.8,Fair,Discharge (cfs),approved
38025003,2023-12-15 00:00:00,58.7,Fair,Discharge (cfs),approved
38025003,2023-12-14 00:00:00,58.1,Fair,Discharge (cfs),approved
38025003,2023-12-13 00:00:00,58.5,Fair,Discharge (cfs),approved
38025003,2023-12-12 00:00:00,59.9,Fair,Discharge (cfs),approved
38025003,2023-12-11 00:00:00,60.6,Fair,Discharge (cfs),approved
38025003,2023-12-10 00:00:00,61.7,Fair,Discharge (cfs),approved
38025003,2023-12-09 00:00:00,62.7,Fair,Discharge (cfs),approved
38025003,2023-12-08 00:00:00,63.3,Fair,Discharge (cfs),approved
38025003,2023-12-07 00:00:00,63,Fair,Discharge (cfs),approved
38025003,2023-12-06 00:00:00,62,Fair,Discharge (cfs),approved
38025003,2023-12-05 00:00:00,62.1,Fair,Discharge (cfs),approved
38025003,2023-12-04 00:00:00,62.3,Fair,Discharge (cfs),approved
38025003,2023-12-03 00:00:00,62.8,Fair,Discharge (cfs),approved
38025003,2023-12-02 00:00:00,62.7,Fair,Discharge (cfs),approved
38025003,2023-12-01 00:00:00,63.3,Fair,Discharge (cfs),approved
38025003,2023-11-30 00:00:00,65.1,Fair,Discharge (cfs),approved
38025003,2023-11-29 00:00:00,67.8,Fair,Discharge (cfs),approved
38025003,2023-11-28 00:00:00,68.4,Ice - Estimated,Discharge (cfs),approved
38025003,2023-11-27 00:00:00,68.9,Fair,Discharge (cfs),approved
38025003,2023-11-26 00:00:00,69.8,Fair,Discharge (cfs),approved
38025003,2023-11-25 00:00:00,69.3,Fair,Discharge (cfs),approved
38025003,2023-11-24 00:00:00,70.1,Fair,Discharge (cfs),approved
38025003,2023-11-23 00:00:00,72.2,Fair,Discharge (cfs),approved
38025003,2023-11-22 00:00:00,72.2,Fair,Discharge (cfs),approved
38025003,2023-11-21 00:00:00,72,Fair,Discharge (cfs),approved
38025003,2023-11-20 00:00:00,72.5,Fair,Discharge (cfs),approved
38025003,2023-11-19 00:00:00,74.5,Fair,Discharge (cfs),approved
38025003,2023-11-18 00:00:00,75.8,Fair,Discharge (cfs),approved
38025003,2023-11-17 00:00:00,76.7,Fair,Discharge (cfs),approved
38025003,2023-11-16 00:00:00,76.9,Fair,Discharge (cfs),approved
38025003,2023-11-15 00:00:00,77.8,Fair,Discharge (cfs),approved
38025003,2023-11-14 00:00:00,78.5,Fair,Discharge (cfs),approved
38025003,2023-11-13 00:00:00,79.2,Fair,Discharge (cfs),approved
38025003,2023-11-12 00:00:00,81.5,Fair,Discharge (cfs),approved
38025003,2023-11-11 00:00:00,82.9,Fair,Discharge (cfs),approved
38025003,2023-11-10 00:00:00,85.6,Fair,Discharge (cfs),approved
38025003,2023-11-09 00:00:00,89.2,Fair,Discharge (cfs),approved
38025003,2023-11-08 00:00:00,91,Good,Discharge (cfs),approved
38025003,2023-11-07 00:00:00,93.6,Good,Discharge (cfs),approved
38025003,2023-11-06 00:00:00,98,Good,Discharge (cfs),approved
38025003,2023-11-05 00:00:00,101,Good,Discharge (cfs),approved
38025003,2023-11-04 00:00:00,106,Good,Discharge (cfs),approved
38025003,2023-11-03 00:00:00,111,Good,Discharge (cfs),approved
38025003,2023-11-02 00:00:00,117,Good,Discharge (cfs),approved
38025003,2023-11-01 00:00:00,125,Good,Discharge (cfs),approved
38025003,2023-10-31 00:00:00,132,Good,Discharge (cfs),approved
38025003,2023-10-30 00:00:00,144,Good,Discharge (cfs),approved
38025003,2023-10-29 00:00:00,166,Good,Discharge (cfs),approved
38025003,2023-10-28 00:00:00,209,Good,Discharge (cfs),approved
38025003,2023-10-27 00:00:00,282,Fair,Discharge (cfs),approved
38025003,2023-10-26 00:00:00,336,Fair,Discharge (cfs),approved
38025003,2023-10-25 00:00:00,246,Fair,Discharge (cfs),approved
38025003,2023-10-24 00:00:00,82.8,Fair,Discharge (cfs),approved
38025003,2023-10-23 00:00:00,68.2,Fair,Discharge (cfs),approved
38025003,2023-10-22 00:00:00,70.7,Fair,Discharge (cfs),approved
38025003,2023-10-21 00:00:00,75.5,Fair,Discharge (cfs),approved
38025003,2023-10-20 00:00:00,80.6,Fair,Discharge (cfs),approved
38025003,2023-10-19 00:00:00,88,Fair,Discharge (cfs),approved
38025003,2023-10-18 00:00:00,100,Good,Discharge (cfs),approved
38025003,2023-10-17 00:00:00,120,Good,Discharge (cfs),approved
38025003,2023-10-16 00:00:00,160,Good,Discharge (cfs),approved
38025003,2023-10-15 00:00:00,227,Fair,Discharge (cfs),approved
38025003,2023-10-14 00:00:00,216,Fair,Discharge (cfs),approved
38025003,2023-10-13 00:00:00,68.1,Poor,Discharge (cfs),approved
38025003,2023-10-12 00:00:00,39.4,Poor,Discharge (cfs),approved
38025003,2023-10-11 00:00:00,39.8,Poor,Discharge (cfs),approved
38025003,2023-10-10 00:00:00,40.6,Poor,Discharge (cfs),approved
38025003,2023-10-09 00:00:00,41,Poor,Discharge (cfs),approved
38025003,2023-10-08 00:00:00,42.5,Poor,Discharge (cfs),approved
38025003,2023-10-07 00:00:00,44.7,Poor,Discharge (cfs),approved
38025003,2023-10-06 00:00:00,46.2,Fair,Discharge (cfs),approved
38025003,2023-10-05 00:00:00,48.1,Fair,Discharge (cfs),approved
38025003,2023-10-04 00:00:00,49.4,Fair,Discharge (cfs),approved
38025003,2023-10-03 00:00:00,52.3,Fair,Discharge (cfs),approved
38025003,2023-10-02 00:00:00,56.9,Fair,Discharge (cfs),approved
38025003,2023-10-01 00:00:00,63.8,Fair,Discharge (cfs),approved
38025003,2023-09-30 00:00:00,76.5,Fair,Discharge (cfs),approved
38025003,2023-09-29 00:00:00,68.6,Fair,Discharge (cfs),approved
38025003,2023-09-28 00:00:00,74.3,Fair,Discharge (cfs),approved
38025003,2023-09-27 00:00:00,96.1,Fair,Discharge (cfs),approved
38025003,2023-09-26 00:00:00,108,Fair,Discharge (cfs),approved
38025003,2023-09-25 00:00:00,83.4,Fair,Discharge (cfs),approved
38025003,2023-09-24 00:00:00,65.2,Poor,Discharge (cfs),approved
38025003,2023-09-23 00:00:00,28.6,Poor,Discharge (cfs),approved
38025003,2023-09-22 00:00:00,26.9,Poor,Discharge (cfs),approved
38025003,2023-09-21 00:00:00,27,Poor,Discharge (cfs),approved
38025003,2023-09-20 00:00:00,26.1,Estimated,Discharge (cfs),approved
38025003,2023-09-19 00:00:00,26.2,Estimated,Discharge (cfs),approved
38025003,2023-09-18 00:00:00,27,Poor,Discharge (cfs),approved
38025003,2023-09-17 00:00:00,28.3,Poor,Discharge (cfs),approved
38025003,2023-09-16 00:00:00,30.8,Poor,Discharge (cfs),approved
38025003,2023-09-15 00:00:00,26.3,Estimated,Discharge (cfs),approved
38025003,2023-09-14 00:00:00,23.5,Estimated,Discharge (cfs),approved
38025003,2023-09-13 00:00:00,24.2,Estimated,Discharge (cfs),approved
38025003,2023-09-12 00:00:00,24.2,Estimated,Discharge (cfs),approved
38025003,2023-09-11 00:00:00,23.4,Estimated,Discharge (cfs),approved
38025003,2023-09-10 00:00:00,23.5,Estimated,Discharge (cfs),approved
38025003,2023-09-09 00:00:00,23.3,Estimated,Discharge (cfs),approved
38025003,2023-09-08 00:00:00,23.7,Estimated,Discharge (cfs),approved
38025003,2023-09-07 00:00:00,23.3,Estimated,Discharge (cfs),approved
38025003,2023-09-06 00:00:00,22.5,Estimated,Discharge (cfs),approved
38025003,2023-09-05 00:00:00,22.6,Estimated,Discharge (cfs),approved
38025003,2023-09-04 00:00:00,22.9,Estimated,Discharge (cfs),approved
38025003,2023-09-03 00:00:00,24.5,Estimated,Discharge (cfs),approved
38025003,2023-09-02 00:00:00,26.7,Poor,Discharge (cfs),approved
38025003,2023-09-01 00:00:00,29.9,Poor,Discharge (cfs),approved
38025003,2023-08-31 00:00:00,32.3,Poor,Discharge (cfs),approved
38025003,2023-08-30 00:00:00,32.5,Poor,Discharge (cfs),approved
38025003,2023-08-29 00:00:00,34.2,Poor,Discharge (cfs),approved
38025003,2023-08-28 00:00:00,35.5,Poor,Discharge (cfs),approved
38025003,2023-08-27 00:00:00,35.3,Poor,Discharge (cfs),approved
38025003,2023-08-26 00:00:00,36.1,Poor,Discharge (cfs),approved
38025003,2023-08-25 00:00:00,36.6,Poor,Discharge (cfs),approved
