station,tstamp,value,quality,var_name,type
12047001,2023-11-20 10:00:00,9.84,Good,Discharge (cfs),provisional
12047001,2023-11-20 09:30:00,9.81,Good,Discharge (cfs),provisional
12047001,2023-11-20 09:00:00,9.75,Good,Discharge (cfs),provisional
12047001,2023-11-20 08:30:00,9.73,Good,Discharge (cfs),provisional
12047001,2023-11-20 08:00:00,9.74,Good,Discharge (cfs),provisional
12047001,2023-11-20 07:30:00,9.74,Good,Discharge (cfs),provisional
12047001,2023-11-20 07:00:00,9.72,Good,Discharge (cfs),provisional
12047001,2023-11-20 06:30:00,9.73,Good,Discharge (cfs),provisional
12047001,2023-11-20 06:00:00,9.73,Good,Discharge (cfs),provisional
12047001,2023-11-20 05:30:00,9.72,Good,Discharge (cfs),provisional
12047001,2023-11-20 05:00:00,9.74,Good,Discharge (cfs),provisional
12047001,2023-11-20 04:30:00,9.75,Good,Discharge (cfs),provisional
12047001,2023-11-20 04:00:00,9.81,Good,Discharge (cfs),provisional
12047001,2023-11-20 03:30:00,9.82,Good,Discharge (cfs),provisional
12047001,2023-11-20 03:00:00,9.81,Good,Discharge (cfs),provisional
12047001,2023-11-20 02:30:00,9.79,Good,Discharge (cfs),provisional
12047001,2023-11-20 02:00:00,9.75,Good,Discharge (cfs),provisional
12047001,2023-11-20 01:30:00,9.78,Good,Discharge (cfs),provisional
12047001,2023-11-20 01:00:00,9.78,Good,Discharge (cfs),provisional
12047001,2023-11-20 00:30:00,9.78,Good,Discharge (cfs),provisional
12047001,2023-11-20 00:00:00,9.8,Good,Discharge (cfs),provisional
12047001,2023-11-19 23:30:00,9.83,Good,Discharge (cfs),provisional
12047001,2023-11-19 23:00:00,9.85,Good,Discharge (cfs),provisional
12047001,2023-11-19 22:30:00,9.83,Good,Discharge (cfs),provisional
12047001,2023-11-19 22:00:00,9.79,Good,Discharge (cfs),provisional
12047001,2023-11-19 21:30:00,9.88,Good,Discharge (cfs),provisional
12047001,2023-11-19 21:00:00,9.96,Good,Discharge (cfs),provisional
12047001,2023-11-19 20:30:00,9.97,Good,Discharge (cfs),provisional
12047001,2023-11-19 20:00:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 19:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 19:00:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 18:30:00,10.1,Good,Discharge (cfs),provisional
12047001,2023-11-19 18:00:00,10.1,Good,Discharge (cfs),provisional
12047001,2023-11-19 17:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 17:00:00,10.2,Good,Discharge (cfs),provisional
12047001,2023-11-19 16:30:00,10.2,Good,Discharge (cfs),provisional
12047001,2023-11-19 16:00:00,10.1,Good,Discharge (cfs),provisional
12047001,2023-11-19 15:30:00,10.1,Good,Discharge (cfs),provisional
12047001,2023-11-19 15:00:00,10.1,Good,Discharge (cfs),provisional
12047001,2023-11-19 14:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 14:00:00,9.99,Good,Discharge (cfs),provisional
12047001,2023-11-19 13:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 13:00:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 12:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 12:00:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 11:30:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 11:00:00,10,Good,Discharge (cfs),provisional
12047001,2023-11-19 10:30:00,9.99,Good,Discharge (cfs),provisional
